cancer_type,gene,mutated_samples,total_samples,mutation_frequency
LUAD,MYH11,5,50,10.0
LUAD,MYO18B,5,50,10.0
LUAD,NBEA,5,50,10.0
LUAD,NES,5,50,10.0
LUAD,NOTCH4,5,50,10.0
LUAD,NRCAM,5,50,10.0
LUAD,NSD1,5,50,10.0
LUAD,NUP205,5,50,10.0
LUAD,OLFM3,5,50,10.0
LUAD,OR11H6,5,50,10.0
LUAD,OR14A16,5,50,10.0
LUAD,OR14K1,5,50,10.0
LUAD,OR2G3,5,50,10.0
LUAD,OR2T1,5,50,10.0
LUAD,OR4L1,5,50,10.0
LUAD,OR52K2,5,50,10.0
LUAD,OR5AS1,5,50,10.0
LUAD,OR5L1,5,50,10.0
LUAD,OR5T2,5,50,10.0
LUAD,OR8H3,5,50,10.0
LUAD,OR8I2,5,50,10.0
LUAD,PASD1,5,50,10.0
LUAD,PCDH7,5,50,10.0
LUAD,PCDHA7,5,50,10.0
LUAD,PCDHB13,5,50,10.0
LUAD,PCDHB3,5,50,10.0
LUAD,PCDHB5,5,50,10.0
LUAD,PCDHB8,5,50,10.0
LUAD,PCDHGA12,5,50,10.0
LUAD,PCDHGB7,5,50,10.0
LUAD,PDE1C,5,50,10.0
LUAD,PDGFRA,5,50,10.0
LUAD,PIK3CA,5,50,10.0
LUAD,PKHD1L1,5,50,10.0
LUAD,PLCE1,5,50,10.0
LUAD,PLPPR4,5,50,10.0
LUAD,PNLIPRP3,5,50,10.0
LUAD,POLE,5,50,10.0
LUAD,POLQ,5,50,10.0
LUAD,POM121L12,5,50,10.0
LUAD,POTEF,5,50,10.0
LUAD,PTCHD3,5,50,10.0
LUAD,PTPRK,5,50,10.0
LUAD,SACS,5,50,10.0
LUAD,SATB2,5,50,10.0
LUAD,SCN11A,5,50,10.0
LUAD,SCRIB,5,50,10.0
LUAD,SDK2,5,50,10.0
LUAD,SEMA5A,5,50,10.0
LUAD,SEZ6,5,50,10.0
LUAD,SGIP1,5,50,10.0
LUAD,SLC12A5,5,50,10.0
LUAD,SLC24A2,5,50,10.0
LUAD,SLC26A7,5,50,10.0
LUAD,SLC4A1,5,50,10.0
LUAD,SLC4A3,5,50,10.0
LUAD,SLC8A1,5,50,10.0
LUAD,SLITRK2,5,50,10.0
LUAD,SLITRK4,5,50,10.0
LUAD,SPTB,5,50,10.0
LUAD,SSPOP,5,50,10.0
LUAD,TAF1,5,50,10.0
LUAD,TCHH,5,50,10.0
LUAD,TFAP2D,5,50,10.0
LUAD,TGIF2LX,5,50,10.0
LUAD,THSD7B,5,50,10.0
LUAD,TLL2,5,50,10.0
LUAD,TNN,5,50,10.0
LUAD,TRHR,5,50,10.0
LUAD,TRPM3,5,50,10.0
LUAD,UNC45B,5,50,10.0
LUAD,UNC5D,5,50,10.0
LUAD,USF3,5,50,10.0
LUAD,USP31,5,50,10.0
LUAD,VGLL3,5,50,10.0
LUAD,ZEB1,5,50,10.0
LUAD,ZIC4,5,50,10.0
LUAD,ZNF208,5,50,10.0
LUAD,ZNF257,5,50,10.0
LUAD,ZNF44,5,50,10.0
LUAD,ZNF518B,5,50,10.0
LUAD,ZNF99,5,50,10.0
LUAD,ABCA7,4,50,8.0
LUAD,ABCA9,4,50,8.0
LUAD,ABCB1,4,50,8.0
LUAD,ABCB4,4,50,8.0
LUAD,ABCC11,4,50,8.0
LUAD,ABCC12,4,50,8.0
LUAD,ABCC9,4,50,8.0
LUAD,ABI3BP,4,50,8.0
LUAD,ACKR1,4,50,8.0
LUAD,ACSM2B,4,50,8.0
LUAD,ACTN2,4,50,8.0
LUAD,ADAMTS14,4,50,8.0
LUAD,ADAMTS16,4,50,8.0
LUAD,ADAMTS20,4,50,8.0
LUAD,ADAMTS5,4,50,8.0
LUAD,ADAMTS7,4,50,8.0
LUAD,ADARB2,4,50,8.0
LUAD,ADCY1,4,50,8.0
LUAD,AEBP1,4,50,8.0
LUAD,AGAP2,4,50,8.0
LUAD,AGO2,4,50,8.0
LUAD,AHR,4,50,8.0
